timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580423524681992,-2.28874 0.220713  2.60179, 0.0162918  0.00439368 -0.00508039,0.0809044  0.323977 0.0677977,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524682576,-2.28874 0.220793  2.60176,0.0162918  0.0319882 -0.0174216,0.0809044  0.307684  0.068265,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524682962,-2.2887 0.220793  2.60176,0.0305294  0.0319882 -0.0174216,0.0800198  0.307684  0.068265,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524683550,-2.2887 0.220723  2.60176,0.0305294 -0.0019463 -0.0174216,0.0800198  0.309636  0.068265,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524683954,-2.2887 0.220723  2.60177,0.0305294 -0.0019463 -0.0120268,0.0800198  0.309636 0.0737725,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524684610,-2.28869 0.220723  2.60177, 0.0239879 -0.00535058 -0.00552229,0.0807542  0.319366 0.0703846,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524685603,-2.28872 0.220696   2.6018,0.00586638 -0.0154733 0.00845474,0.0793022  0.322516 0.0661288,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524686790,-2.28876 0.220702  2.60175,-0.0165642 -0.00951006  -0.0114651,0.0800866  0.320339 0.0680314,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524687656,-2.28877 0.220707  2.60174,-0.0179774 -0.00348567   -0.013562,0.078935  0.326796 0.0676976,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524688684,-2.28875  0.22069  2.60171,-0.00607187 -0.00818832  -0.0212075,0.0766152  0.335065 0.0692664,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524689614,-2.28876 0.220679  2.60174,-0.00626507 -0.00979912 -0.00365367,0.0803036  0.340134 0.0704513,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524690609,-2.28882 0.220671  2.60174, -0.0233437  -0.00888958 -0.000364418,0.086295  0.351056 0.0729214,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524691608,-2.28875 0.220644  2.60172,0.00681296 -0.0154997 -0.0074564,0.076682  0.336653 0.0727211,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524692639,-2.28873 0.220702  2.60177,0.016133 0.0106884 0.0161113,0.0750631  0.312982 0.0708352,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524693655,-2.28869 0.220644  2.60184,0.0271729 -0.0110069  0.0375942,0.0758141  0.313503 0.0676308,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524694603,-2.28874 0.220656  2.60176,0.00176114 -0.00524748 -0.00166902,0.0781006  0.322964 0.0669132,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524695592,-2.28878 0.220686  2.60175,-0.0151347  0.00877727 -0.00952562,0.0832743  0.309884 0.0736223,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524696743,-2.28875 0.220732  2.60179,-0.00505752   0.0253802   0.0064216,0.0766987  0.305874 0.0680314,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524697651,-2.28871 0.220764  2.60172,0.0119638   0.030891 -0.0207842,0.0669688  0.312326 0.0709854,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524698679,-2.28871 0.220734  2.60182,0.0116794 0.00977141  0.0203121,0.0654668  0.317689  0.062841,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524699646,-2.28866 0.220709  2.60184, 0.0273162 -0.00607951    0.025334,0.0649327  0.330066 0.0641428,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524700618,-2.28875 0.220738  2.60185,-0.014029 0.00372988  0.0229383,0.0771827  0.329767 0.0652777,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524701616,-2.28874 0.220682  2.60183,-0.0109603 -0.0179007 0.00761076,0.0775165  0.324997 0.0680314,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524702671,-2.28873 0.220694  2.60186,-0.00603423 -0.00999435    0.014379,0.081088  0.320634 0.0666962,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524703655,-2.28873 0.220728  2.60178,-0.00150935  0.00678847  -0.0209366,0.0865454  0.312883  0.069233,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524704655,-2.28875 0.220753  2.60178,-0.00732072   0.0163168  -0.0207091,0.0844759  0.299285 0.0708018,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524705607,-2.28876  0.22077  2.60172,-0.00975505    0.018655  -0.0342344,0.0857943  0.307356 0.0682317,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524706763,-2.28872 0.220705  2.60176,0.00887566  -0.0112657 -0.00860902,0.0793189  0.310016 0.0611888,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524707646,-2.28869 0.220732   2.6018,  0.019298 -0.00114962   0.0100478,0.0780171  0.308267 0.0597869,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524708675,-2.28867 0.220751  2.60185,0.0219273 0.00625131  0.0289663,0.077166  0.307473 0.0643264,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524709654,-2.28866  0.22074  2.60183, 0.0189929 0.000842226   0.0168079,0.0734109  0.319566  0.067731,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524710602,-2.28868  0.22078  2.60179,0.00452471    0.015227 -0.00386867,0.0727934  0.319373 0.0719033,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524711599,-2.28877 0.220757  2.60179,-0.0335219  0.00315693 -0.00778946,0.0814051  0.327356 0.0695668,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524712648,-2.28874 0.220742  2.60176,-0.0148264 -0.00529788  -0.0172612,0.0774163  0.332011 0.0692831,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524713637,-2.28871 0.220778  2.60182,0.00112672 0.00865585 0.00764141,0.0781006  0.334211 0.0706182,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524714653,-2.28871 0.220753  2.60183,0.00188468 -0.00223576   0.0130646,0.0767487  0.326689 0.0661789,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524715596,-2.28869 0.220688  2.60184,0.0108548 -0.0273168  0.0138245,0.0705904  0.337507 0.0664459,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524716750,-2.28868 0.220667   2.6018,  0.014382  -0.0291298 -0.00687528,0.0698728   0.34864 0.0666462,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524717607,-2.28869 0.220658  2.60179,0.00441198 -0.0237562 -0.0100607,0.0713748  0.355565 0.0618063,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524718667,-2.28875 0.220679  2.60178,-0.0210148 -0.00646107 -0.00947381,0.0726432  0.330248 0.0620733,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524719640,-2.28874 0.220698  2.60176,-0.0153122  0.0062189 -0.0165763,0.0773162  0.328525 0.0677811,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524720595,-2.28869 0.220713  2.60177, 0.0102136   0.0128092 -0.00864298,0.0737447  0.327366 0.0667463,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524721599,-2.28865 0.220724   2.6018,0.0251282  0.0141635 0.00786762,0.0745291  0.310602 0.0677143,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524722600,-2.28867 0.220755  2.60185,0.0108935 0.0212609 0.0256198,0.0714916  0.312435 0.0701009,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524723663,-2.28869 0.220772  2.60181,-0.000686068    0.0210569   0.00488747,0.0727433  0.315244 0.0730716,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524724650,-2.2887 0.220732  2.60177,-0.00787229 -0.00129638  -0.0108961,0.0736612  0.318337 0.0680982,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524725618,-2.28872 0.220726  2.60183,-0.0109466 -0.0066047 0.00958445,0.0778335  0.317012 0.0660787,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524726766,-2.28875 0.220768  2.60181,-0.0192529 0.00995175 0.00294778,0.0788516  0.316247 0.0715028,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
