timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424329952862,-0.02745 0.757654,0.0157869 0.0143619,0.0566254 -0.445024,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329953220,-0.02745 0.757654,0.0157869 0.0143619,0.0566254 -0.445024,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329954162,-0.027376  0.757679,0.0366706 0.0193356,0.0451446 -0.445514,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329955180,-0.027377  0.757695,0.025337 0.0187543,0.0443873  -0.45447,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329956176,-0.0274076    0.75775,0.00342439  0.0328374,0.0497089 -0.468789,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329957172,-0.0275046   0.757714,-0.0382165 0.00838484,0.0590458 -0.456615,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329958152,-0.0275731   0.757754,-0.0575224  0.0178019,0.0623373 -0.451138,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329959154,-0.0275432   0.757708,-0.0302631 -0.00628773,0.0626638 -0.425456,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329960246,-0.0274923   0.757744,0.00273266 0.00674643,0.0641158 -0.447076,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329961175,-0.0275478   0.757721,-0.0132226 -0.00381025,0.0608889 -0.436974,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329962172,-0.02751 0.757752,0.00559222 0.00792383,0.0599862 -0.439172,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329963162,-0.0274815    0.75775,0.0170426 0.00521848,0.0590814 -0.445878,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329964159,-0.0274628   0.757796,0.0204606 0.0204817,0.0619476 -0.459219,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329965182,-0.0274757   0.757801,0.00934281  0.0171339,0.0622035 -0.446347,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329966182,-0.0274882   0.757778,-0.000148733   0.00234201,0.0589947 -0.441463,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329967160,-0.0274752   0.757784,0.00288368 0.00153379,0.0620192 -0.442025,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329968165,-0.0274903   0.757859,-0.00411266   0.0279632,0.0622922 -0.446222,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329969168,-0.0274774   0.757906,0.0011537 0.0397954,0.0573547 -0.458052,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329970249,-0.0274923   0.757912,-0.00446266   0.0302201,0.0590765 -0.461958,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329971191,-0.0275023   0.757864,-0.00729901 -0.000225531,0.0569183 -0.455772,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329972217,-0.0274611   0.757849,0.0103177 -0.0108407,0.0557163 -0.454949,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329973127,-0.0274086   0.757883,0.0288011 0.00305428,0.0534156 -0.444691,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329974176,-0.0274213   0.757859, 0.0168935 -0.00599177,0.0553962 -0.438047,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329975204,-0.0274342   0.757868,0.00508336 -0.00158901,0.0501577 -0.420728,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329976181,-0.0274937   0.757923,-0.0213876  0.0199642,0.0604468 -0.435839,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329977181,-0.0274875   0.757935,-0.0158616  0.0204687,0.0608339 -0.425633,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329978158,-0.0275063   0.757941,-0.0177548  0.0163334,0.0626731 -0.437141,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
1580424329979092,-0.0275156   0.757965,-0.0151597  0.0195698,0.0635351 -0.449929,     0 3.86545,nan nan,nan nan,     nan 0.0170213,-0 0.0169048 
